st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
NJ,Abraham Lincoln School No. 14,340459005508,Elizabeth Public Schools,3404590,ELIZABETH,07202,ELIZABETH,07202,Yes participating without using any Provision or the CEO,786,,659,Kindergarten,8th Grade
NJ,Abraham Lincoln School Number 24,341254003541,Passaic City School District,3412540,Passaic,07055,Passaic,07055,Yes under Community Eligibility Option (CEO),298,,287,Prekindergarten,Prekindergarten
MO,ABRAHAM MALLINSON ELEMENTARY,291548003210,INDEPENDENCE 30,2915480,SUGAR CREEK,64054,SUGAR CREEK,64054,Yes participating without using any Provision or the CEO,275,86,236,2nd Grade,5th Grade
NY,ABRAHAM WING SCHOOL,360231000002,GLENS FALLS COMMON SCHOOL DISTRICT,3602310,GLENS FALLS,12801,GLENS FALLS,12801,Yes under Community Eligibility Option (CEO),143,,87,Kindergarten,6th Grade
NY,ABRAM LANSING SCHOOL,360798000568,COHOES CITY SCHOOL DISTRICT,3607980,COHOES,12047,COHOES,12047,Yes under Community Eligibility Option (CEO),320,,244,Prekindergarten,5th Grade
NJ,Abram P. Morris Early Childhood Center,340729005548,Hillside Public School District,3407290,HILLSIDE,07205,HILLSIDE,07205,Yes participating without using any Provision or the CEO,664,,401,Prekindergarten,1st Grade
WI,Abrams Elementary,551095001431,Oconto Falls Public School District,5510950,Abrams,54101,Abrams,54101,Yes participating without using any Provision or the CEO,275,,71,Prekindergarten,5th Grade
MT,Absarokee 6-8,300171001063,Absarokee Elem,3001710,Absarokee,59001,Absarokee,59001,Yes participating without using any Provision or the CEO,45,,15,6th Grade,8th Grade
MT,Absarokee High School,300174000002,Absarokee H S,3001740,Absarokee,59001,Absarokee,59001,Yes participating without using any Provision or the CEO,79,,20,9th Grade,12th Grade
MT,Absarokee School,300171000001,Absarokee Elem,3001710,Absarokee,59001,Absarokee,59001,Yes participating without using any Provision or the CEO,80,,28,Prekindergarten,5th Grade
NJ,Absegami High School,340606000122,Greater Egg Harbor Regional High School District,3406060,GALLOWAY,08205,GALLOWAY,08205,Yes participating without using any Provision or the CEO,1131,,578,9th Grade,12th Grade
NC,ABSS Early College at ACC,370003002972,Alamance-Burlington Schools,3700030,Graham,27253,Graham,27253,Yes participating without using any Provision or the CEO,231,,72,9th Grade,13th Grade
NV,Abston Sandra B ES,320006000935,Clark County,3200060,Las Vegas,89147,Las Vegas,89147,Yes under Community Eligibility Option (CEO),715,413,715,Prekindergarten,5th Grade
MO,AC PREP ELEMENTARY,291640001718,KANSAS CITY 33,2916400,KANSAS CITY,64132,KANSAS CITY,64132,Yes under Community Eligibility Option (CEO),367,178,367,Prekindergarten,8th Grade
NY,ACAD FOR COLLEGE PREP AND CAREER EXP,360009505916,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,BROOKLYN,11226,BROOKLYN,11226,,426,,402,6th Grade,12th Grade
MO,ACAD OF ENTRE STDY@LOUVERTURE,292928003215,ST. LOUIS CITY,2929280,ST. LOUIS,63104,ST. LOUIS,63104,Yes under Community Eligibility Option (CEO),271,137,271,6th Grade,8th Grade
NY,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,360008805810,NEW YORK CITY GEOGRAPHIC DISTRICT #11,3600088,BRONX,10466,BRONX,10466,,394,,351,9th Grade,12th Grade
TX,ACADEMIC BEHAVIOR SCHOOL EAST,480026110705,HARRIS COUNTY DEPT OF ED,4800261,HOUSTON,77012,HOUSTON,77012,,,,,,
TX,ACADEMIC BEHAVIOR SCHOOL WEST,480026110706,HARRIS COUNTY DEPT OF ED,4800261,HOUSTON,77063,HOUSTON,77063,,,,,,
TX,ACADEMIC COUNSELING AND TRANSITION ACADEMY,481359023017,CHANNELVIEW ISD,4813590,CHANNELVIEW,77573,CHANNELVIEW,77573,Yes under Community Eligibility Option (CEO),18,,17,6th Grade,8th Grade
NY,ACADEMIC LEADERSHIP CHARTER SCHOOL,360100106154,ACADEMIC LEADERSHIP CHARTER SCHOOL,3601001,BRONX,10454,BRONX,10454,No,390,,,Kindergarten,8th Grade
SC,Academic Magnet High,450144000168,Charleston 01,4501440,North Charleston,29405,North Charleston,29405,Yes participating without using any Provision or the CEO,718,83,94,9th Grade,12th Grade
MO,ACADEMIE LAFAYETTE ARMOUR IHS,290001703394,ACADEMIE LAFAYETTE,2900017,KANSAS CITY,64113,KANSAS CITY,64113,Yes participating without using any Provision or the CEO,107,14,31,9th Grade,12th Grade
MO,Academie Lafayette Armour IMS,290001703331,ACADEMIE LAFAYETTE,2900017,KANSAS CITY,64111,KANSAS CITY,64111,Yes participating without using any Provision or the CEO,273,13,45,6th Grade,8th Grade
MO,ACADEMIE LAFAYETTE CHERRY ELEM,290001703259,ACADEMIE LAFAYETTE,2900017,KANSAS CITY,64109,KANSAS CITY,64109,Yes participating without using any Provision or the CEO,474,59,151,Prekindergarten,5th Grade
MO,Academie Lafayette Oak Elem,290001702753,ACADEMIE LAFAYETTE,2900017,Kansas City,64113,Kansas City,64113,Yes participating without using any Provision or the CEO,498,32,98,Kindergarten,5th Grade
VA,Academies of Loudoun,510225003075,Loudoun County Public Schools,5102250,Leesburg,20175,Leesburg,20175,No,,,,,
VA,Academy 360,510084002983,Chesterfield County Public Schools,5100840,Midlothian,23112,Midlothian,23112,No,,,,,
TX,ACADEMY AT CARRIE F THOMAS,481023000486,BIRDVILLE ISD,4810230,NORTH RICHLAND HILLS,76180,NORTH RICHLAND HILLS,76180,Yes under Provision 2,552,,468,Prekindergarten,5th Grade
TX,ACADEMY AT NOLA DUNN,481218008856,BURLESON ISD,4812180,BURLESON,76028,BURLESON,76028,Yes participating without using any Provision or the CEO,654,,114,Prekindergarten,5th Grade
PA,Academy at Palumbo,421899000962,Philadelphia City SD,4218990,Philadelphia,19147,Philadelphia,19147,Yes participating without using any Provision or the CEO,1188,,1185,9th Grade,12th Grade
NC,Academy at Smith,370192002889,Guilford County Schools,3701920,Greensboro,27407,Greensboro,27407,Yes participating without using any Provision or the CEO,228,,225,9th Grade,12th Grade
VA,Academy at Virginia Randolph,510189000805,Henrico County Public Schools,5101890,Glen Allen,23060,Glen Allen,23060,Yes under Community Eligibility Option (CEO),,,,,
NJ,Academy Charter High School,340004800335,Academy Charter High School,3400048,LAKE COMO,07719,LAKE COMO,07719,Yes participating without using any Provision or the CEO,173,,133,9th Grade,12th Grade
NY,ACADEMY CHARTER SCHOOL,360099706131,ACADEMY CHARTER SCHOOL,3600997,HEMPSTEAD,11550,HEMPSTEAD,11550,Yes under Community Eligibility Option (CEO),1895,,1687,Kindergarten,12th Grade
NY,ACADEMY CHARTER SCHOOL 2 (THE),368097306763,ACADEMY CHARTER SCHOOL 2 (THE),3680973,WYANDANCH,11798,WYANDANCH,11798,Yes under Community Eligibility Option (CEO),191,,152,Kindergarten,3rd Grade
NY,ACADEMY CHARTER SCHOOL-UNIONDALE,360116906639,ACADEMY CHARTER SCHOOL-UNIONDALE,3601169,UNIONDALE,11553,UNIONDALE,11553,Yes under Community Eligibility Option (CEO),1522,,997,Kindergarten,12th Grade
NM,ACADEMY DEL SOL ALT.,350003000799,ALAMOGORDO,3500030,ALAMOGORDO,88310,ALAMOGORDO,88310,Yes under Community Eligibility Option (CEO),0,,,10th Grade,12th Grade
TX,ACADEMY EARLY CHILDHOOD CENTER,480747013381,ACADEMY ISD,4807470,LITTLE RIVER,76554,LITTLE RIVER,76554,Yes under Provision 2,172,,78,Prekindergarten,Kindergarten
TX,ACADEMY EL,480747000039,ACADEMY ISD,4807470,LITTLE RIVER,76554,LITTLE RIVER,76554,Yes under Provision 2,702,,289,1st Grade,5th Grade
OK,ACADEMY ES,401359000635,GUYMON,4013590,Guymon,73942,Guymon,73942,Yes participating without using any Provision or the CEO,429,257,388,3rd Grade,4th Grade
NJ,Academy For Allied Health Sciences,341804000584,Union County Vocational-Technical School District,3418040,SCOTCH PLAINS,07076,SCOTCH PLAINS,07076,No,304,,25,9th Grade,12th Grade
SC,Academy For Arts/Science/Technology,450249000647,Horry 01,4502490,Myrtle Beach,29579,Myrtle Beach,29579,Yes participating without using any Provision or the CEO,0,,,9th Grade,12th Grade
NV,Academy For Career Education,320048000562,Washoe County,3200480,RENO,89502,RENO,89502,No,249,,,9th Grade,12th Grade
SC,Academy for Careers and Technology,450390800767,Marion 10,4503908,Mullins,29574,Mullins,29574,Yes participating without using any Provision or the CEO,0,,,9th Grade,12th Grade
NY,ACADEMY FOR CAREERS IN TELEVISION AND FILM,360010206070,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,LONG ISLAND CITY,11101,LONG ISLAND CITY,11101,,541,,387,9th Grade,12th Grade
OR,Academy for Character Education,411158001727,South Lane SD 45J3,4111580,Cottage Grove,97424,Cottage Grove,97424,No,298,,,Kindergarten,12th Grade
NY,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,360009606054,NEW YORK CITY GEOGRAPHIC DISTRICT #18,3600096,BROOKLYN,11236,BROOKLYN,11236,,438,,350,9th Grade,12th Grade
VA,Academy for Discovery at Lakewood,510267003018,Norfolk City Public Schools,5102670,Norfolk,23509,Norfolk,23509,Yes under Community Eligibility Option (CEO),730,727,732,3rd Grade,8th Grade
NJ,Academy for Environmental Science,341072003375,Morris County Vocational School District,3410720,Oak Ridge,07438,Oak Ridge,07438,No,48,,,9th Grade,12th Grade
NY,ACADEMY FOR EXCELLENCE IN LEADERSHIP,360009705866,NEW YORK CITY GEOGRAPHIC DISTRICT #32,3600097,BROOKLYN,11237,BROOKLYN,11237,,272,,255,9th Grade,12th Grade
NY,ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE),360010006067,NEW YORK CITY GEOGRAPHIC DISTRICT #28,3600100,FOREST HILLS,11375,FOREST HILLS,11375,,518,,129,Prekindergarten,5th Grade
NY,ACADEMY FOR HEALTH CAREERS,360009506200,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,BROOKLYN,11213,BROOKLYN,11213,,198,,171,9th Grade,12th Grade
NJ,Academy For Information Technology,341804006134,Union County Vocational-Technical School District,3418040,SCOTCH PLAINS,07076,SCOTCH PLAINS,07076,No,303,,20,9th Grade,12th Grade
MO,ACADEMY FOR INTEGRATED ARTS,290060403209,ACADEMY FOR INTEGRATED ARTS,2900604,Kansas City,64131,Kansas City,64131,Yes under Community Eligibility Option (CEO),270,130,270,Prekindergarten,6th Grade
NY,ACADEMY FOR LANGUAGE AND TECHNOLOGY,360008605981,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,3600086,BRONX,10453,BRONX,10453,Yes under Community Eligibility Option (CEO),350,,349,9th Grade,12th Grade
UT,Academy for Math Engineering & Science,490001700904,Academy for Math Engineering & Science,4900017,SALT LAKE CITY,84121,SALT LAKE CITY,84121,No,469,,73,9th Grade,12th Grade
NJ,Academy for Mathematics Science and Engineering,341072000522,Morris County Vocational School District,3410720,ROCKAWAY,07866,ROCKAWAY,07866,No,180,,,9th Grade,12th Grade
OH,Academy for Multilingual Immersion Studies,390437504258,Cincinnati Public Schools,3904375,Cincinnati,45237,Cincinnati,45237,Yes under Community Eligibility Option (CEO),561,261,,Prekindergarten,8th Grade
NY,ACADEMY FOR NEW AMERICANS,360010202535,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,ASTORIA,11102,ASTORIA,11102,,94,,91,6th Grade,8th Grade
NJ,Academy For Performing Arts,341804003009,Union County Vocational-Technical School District,3418040,SCOTCH PLAINS,07076,SCOTCH PLAINS,07076,No,240,,14,9th Grade,12th Grade
NJ,Academy for Performing Arts,341072003439,Morris County Vocational School District,3410720,Rockaway,07866,Rockaway,07866,No,144,,,9th Grade,12th Grade
NY,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,360008706297,NEW YORK CITY GEOGRAPHIC DISTRICT #10,3600087,BRONX,10468,BRONX,10468,Yes under Community Eligibility Option (CEO),733,,693,6th Grade,8th Grade
NH,Academy for Science and Design Charter (H),330004000684,Academy for Science and Design Charter School,3300040,Nashua,03063,Nashua,03063,No,236,,5,9th Grade,12th Grade
NH,Academy for Science and Design Charter (M),330004000678,Academy for Science and Design Charter School,3300040,Nashua,03063,Nashua,03063,No,404,,6,5th Grade,8th Grade
NY,ACADEMY FOR SOFTWARE ENGINEERING,360007706363,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK,10003,NEW YORK,10003,,416,,343,9th Grade,12th Grade
SC,Academy for Teaching and Learning,450153001020,Chester 01,4501530,Chester,29706,Chester,29706,Yes under Community Eligibility Option (CEO),319,192,319,Kindergarten,8th Grade
NM,ACADEMY FOR TECHNOLOGY & CLASSICS,350237000841,SANTA FE,3502370,SANTA FE,87508,SANTA FE,87508,Yes participating without using any Provision or the CEO,396,87,138,7th Grade,12th Grade
SC,Academy for Technology and Academics,450249001037,Horry 01,4502490,Conway,29526,Conway,29526,Yes participating without using any Provision or the CEO,0,,,9th Grade,12th Grade
TX,ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,480744012452,ABILENE ISD,4807440,ABILENE,79602,ABILENE,79602,Yes under Community Eligibility Option (CEO),386,,181,9th Grade,12th Grade
NJ,Academy for Urban Leadership Charter School,340074103050,Academy for Urban Leadership Charter School,3400741,Perth Amboy,08861,Perth Amboy,08861,Yes participating without using any Provision or the CEO,332,,195,7th Grade,12th Grade
OH,Academy for Urban Scholars Youngstown,390147205727,Academy for Urban Scholars Youngstown,3901472,Youngstown,44507,Youngstown,44507,Yes under Community Eligibility Option (CEO),316,148,,9th Grade,12th Grade
NY,ACADEMY FOR YOUNG WRITERS,360012005884,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,BROOKLYN,11208,BROOKLYN,11208,,452,,415,6th Grade,12th Grade
TX,ACADEMY H S,483510012675,PLANO ISD,4835100,PLANO,75075,PLANO,75075,Yes participating without using any Provision or the CEO,298,,58,9th Grade,12th Grade
TX,ACADEMY H S,480747000040,ACADEMY ISD,4807470,LITTLE RIVER,76554,LITTLE RIVER,76554,Yes under Provision 2,539,,208,9th Grade,12th Grade
NJ,Academy I,340783000142,Jersey City Public Schools,3407830,JERSEY CITY,07305,JERSEY CITY,07305,Yes participating without using any Provision or the CEO,450,,219,6th Grade,8th Grade
TX,ACADEMY J H,480747006348,ACADEMY ISD,4807470,LITTLE RIVER,76554,LITTLE RIVER,76554,Yes under Provision 2,401,,149,6th Grade,8th Grade
TX,ACADEMY JJAEP,480747010395,ACADEMY ISD,4807470,LITTLE RIVER,76554,LITTLE RIVER,76554,,,,,,
NJ,Academy Learning Center,348018005951,Educational Services Commission of New Jersey,3480180,MONROE TOWNSHIP,08831,MONROE TOWNSHIP,08831,Yes participating without using any Provision or the CEO,123,,19,Prekindergarten,12th Grade
TX,ACADEMY OF ACCELERATED LEARNING,480003208585,ACADEMY OF ACCELERATED LEARNING INC,4800032,HOUSTON,77087,HOUSTON,77081,Yes under Community Eligibility Option (CEO),830,,782,Prekindergarten,8th Grade
WI,Academy of Accelerated Learning,550960001239,Milwaukee School District,5509600,Milwaukee,53220,Milwaukee,53220,Yes under Community Eligibility Option (CEO),538,,407,Prekindergarten,5th Grade
NY,ACADEMY OF AMERICAN STUDIES,360010202562,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,LONG ISLAND CITY,11101,LONG ISLAND CITY,11101,Yes under Community Eligibility Option (CEO),1399,,964,9th Grade,12th Grade
NY,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,360008405920,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,3600084,BRONX,10454,BRONX,10454,,262,,249,6th Grade,8th Grade
OR,Academy of Arts and Academics,411167001641,Springfield SD 19,4111670,Springfield,97477,Springfield,97477,Yes under Community Eligibility Option (CEO),239,82,145,9th Grade,12th Grade
NY,ACADEMY OF ARTS AND LETTERS,360009105901,NEW YORK CITY GEOGRAPHIC DISTRICT #13,3600091,BROOKLYN,11216,BROOKLYN,11216,Yes under Community Eligibility Option (CEO),723,,272,Prekindergarten,8th Grade
NV,ACADEMY OF ARTS CAREERS & TECH,320048000664,Washoe County,3200480,RENO,89502,RENO,89502,Yes participating without using any Provision or the CEO,551,100,108,9th Grade,12th Grade
NJ,Academy of Career and Technical Education,340757003468,Hudson County Schools of Technology School District,3407570,Secaucus,07094,Secaucus,07094,No,209,,80,9th Grade,12th Grade
WV,Academy Of Careers And Technology,540123000977,RALEIGH COUNTY SCHOOLS,5401230,Beckley,25801,Beckley,25801,No,,,,8th Grade,12th Grade
TX,ACADEMY OF CHOICE,484110012995,SPRING BRANCH ISD,4841100,HOUSTON,77055,HOUSTON,77055,Yes participating without using any Provision or the CEO,0,,,6th Grade,12th Grade
TX,ACADEMY OF CREATIVE ED,483294021107,NORTH EAST ISD,4832940,SAN ANTONIO,78217,SAN ANTONIO,78217,Yes participating without using any Provision or the CEO,91,,50,10th Grade,12th Grade
TX,ACADEMY OF DALLAS,480009008161,ACADEMY OF DALLAS,4800090,DALLAS,75224,DALLAS,75224,Yes under Community Eligibility Option (CEO),354,,326,Prekindergarten,8th Grade
NY,ACADEMY OF FINANCE AND ENTERPRISE,360009805828,NEW YORK CITY GEOGRAPHIC DISTRICT #24,3600098,LONG ISLAND CITY,11101,LONG ISLAND CITY,11101,,827,,689,9th Grade,12th Grade
NY,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,360119006669,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,3601190,ROCHESTER,14615,ROCHESTER,14615,Yes under Community Eligibility Option (CEO),377,,331,5th Grade,8th Grade
SC,Academy of Hope Charter,450249001585,Horry 01,4502490,Conway,29527,Conway,29527,Yes under Community Eligibility Option (CEO),106,,106,Prekindergarten,8th Grade
NY,ACADEMY OF HOSPITALITY AND TOURISM,360009505885,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,BROOKLYN,11226,BROOKLYN,11226,,371,,304,9th Grade,12th Grade
NY,ACADEMY OF INNOVATIVE TECHNOLOGY,360012006046,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,BROOKLYN,11208,BROOKLYN,11208,Yes under Community Eligibility Option (CEO),398,,327,9th Grade,12th Grade
NJ,Academy of Law & Public Safety,341750003219,Monmouth County Vocational School District,3417500,Long Branch,07740,Long Branch,07740,No,70,,10,9th Grade,12th Grade
NY,ACADEMY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL,360012306079,NEW YORK CITY GEOGRAPHIC DISTRICT #27,3600123,FAR ROCKAWAY,11691,FAR ROCKAWAY,11691,,608,,520,6th Grade,12th Grade
NY,ACADEMY OF PUBLIC RELATIONS,360008405786,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,3600084,BRONX,10456,BRONX,10456,Yes under Community Eligibility Option (CEO),142,,133,6th Grade,8th Grade
OK,ACADEMY OF SEMINOLE CHARTER ES,400080302907,ACADEMY OF SEMINOLE (CHARTER),4000803,Seminole,74868,Seminole,74168,Yes participating without using any Provision or the CEO,162,83,122,Prekindergarten,8th Grade
